Treatment,Type,Year,Transect,Time,Glyphosate
Treated,Sediment,2018,Phragmites,Baseline,0.0383
Treated,Sediment,2018,0 m,Baseline,4.70E-03
Treated,Sediment,2018,10 m,Baseline,0
Treated,Sediment,2018,25 m,Baseline,0
Treated,Sediment,2018,50 m,Baseline,0
Treated,Sediment,2018,100 m,Baseline,0
Treated,Sediment,2018,Phragmites,24 hour,0.0242
Treated,Sediment,2018,0 m,24 hour,0.0166
Treated,Sediment,2018,10 m,24 hour,0
Treated,Sediment,2018,25 m,24 hour,0
Treated,Sediment,2018,50 m,24 hour,0
Treated,Sediment,2018,100 m,24 hour,0
Treated,Sediment,2018,Phragmites,>20 day,0.042
Treated,Sediment,2018,0 m,>20 day,0
Treated,Sediment,2018,10 m,>20 day,0
Treated,Sediment,2018,25 m,>20 day,0
Treated,Sediment,2018,50 m,>20 day,0
Treated,Sediment,2018,100 m,>20 day,0
